jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
136	15.5	0.85	20.8958333333333	1.82497349765868	0	300	20.8958333333333	1.82497349765868	83.7	380	20.8958333333333	20.8958333333333	20.8958333333333	10	1	-999	-999
136	16	0.85	20.4583333333333	1.85616781754706	0	300	20.4583333333333	1.85616781754706	83.7	380	20.4583333333333	20.4583333333333	20.4583333333333	10	1	-999	-999
136	16.5	0.85	19.8125	1.71716966143816	0	300	19.8125	1.71716966143816	83.7	380	19.8125	19.8125	19.8125	10	1	-999	-999
136	17	0.85	20.0833333333333	1.60099854069386	5	300	20.0833333333333	1.60099854069386	83.7	380	20.0833333333333	20.0833333333333	20.0833333333333	10	1	-999	-999
136	17.5	0.85	19.6666666666667	1.55127331725636	0	300	19.6666666666667	1.55127331725636	83.7	380	19.6666666666667	19.6666666666667	19.6666666666667	10	1	-999	-999
136	18	0.85	19.25	1.52650813564205	0	300	19.25	1.52650813564205	83.7	380	19.25	19.25	19.25	10	1	-999	-999
136	18.5	0.85	18.1875	1.47647286803594	0	300	18.1875	1.47647286803594	83.7	380	18.1875	18.1875	18.1875	10	1	-999	-999
136	19	0.85	17.8541666666667	1.47643806244582	0	300	17.8541666666667	1.47643806244582	83.7	380	17.8541666666667	17.8541666666667	17.8541666666667	10	1	-999	-999
136	19.5	0.85	17.4583333333333	1.46892327191841	0	300	17.4583333333333	1.46892327191841	83.7	380	17.4583333333333	17.4583333333333	17.4583333333333	10	1	-999	-999
136	20	0.85	17.1666666666667	1.47249929025886	0	0	17.1666666666667	1.47249929025886	83.7	380	17.1666666666667	17.1666666666667	17.1666666666667	10	1	-999	-999
136	20.5	0.85	17.1041666666667	1.49087640276744	0	0	17.1041666666667	1.49087640276744	83.7	380	17.1041666666667	17.1041666666667	17.1041666666667	10	1	-999	-999
136	21	0.85	17.0416666666667	1.4992286908085	0	0	17.0416666666667	1.4992286908085	83.7	380	17.0416666666667	17.0416666666667	17.0416666666667	10	1	-999	-999
136	21.5	0.85	16.9583333333333	1.51619320072135	0	0	16.9583333333333	1.51619320072135	83.7	380	16.9583333333333	16.9583333333333	16.9583333333333	10	1	-999	-999
136	22	0.85	16.8958333333333	1.52514568003431	0	0	16.8958333333333	1.52514568003431	83.7	380	16.8958333333333	16.8958333333333	16.8958333333333	10	1	-999	-999
